sex, from, grade, salary, cost, income, net_money, economic_pressure, cost_main, cost_way, electronic_option, luxury_option, game_option, music_option, star, financical_option, phone, computer, cream, email
Male, city, 1, 2055, 1153, 父母给予, 信用卡, yes, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, n4MDClc@126.com
Female, township, 2, 2321, 3711, 无, 美团月付, no, study, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, av7Rk@163.com
Male, city, 1, 2140, 3874, 父母给予, 信用卡, yes, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, TAve3X2yaoF@qq.com
Female, countryside, 3, 2957, 4836, 无, 无, yes, elec, offline, 3, 4, 3, 3, 2, 2, iphone, 惠普, 中档品牌, Xkc3FQSw@163.com
Female, township, 2, 5550, 3968, 无, 节呗, no, study, online, 3, 4, 2, 3, 2, 2, meizu, 华硕, 中档品牌, Ey35CBhRzw@sina.com
Male, city, 1, 2296, 1043, 父母给予, 信用卡, yes, dict, online, 2, 3, 2, 2, 2, 1, huawei, 联想, 普通品牌, AIL968q1@126.com
Female, countryside, 3, 3322, 4506, 无, 信用卡, yes, cream, offline, 3, 4, 3, 1, 2, 2, iphone, other, 中档品牌, EC5xK2GcS0@126.com
Male, city, 1, 1851, 934, 副业, 信用卡, yes, cloth, online, 1, 1, 1, 1, 1, 1, huawei, 联想, 普通品牌, Z4VjGoGf@163.com
Female, township, 2, 4617, 2595, 无, 花呗, no, funny, online, 2, 4, 2, 2, 2, 2, oppo, 苹果, 普通品牌, 8tDL3sYP@qq.com
Male, city, 1, 2277, 2448, 无, 花呗, yes, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, LJu2PE@126.com
Female, township, 2, 4631, 5554, 无, 节呗, yes, funny, online, 2, 4, 2, 3, 2, 2, oppo, 华硕, 普通品牌, kR7zH@163.com
Female, countryside, 3, 3512, 5252, 无, 无, yes, elec, offline, 3, 4, 3, 3, 2, 2, iphone, 惠普, 中档品牌, 75gPpovzwE@sina.com
Male, city, 2, 4183, 1499, 无, 花呗, yes, trval, online, 2, 4, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, fg9VOQ7e@126.com
Male, city, 1, 2678, 3484, 父母给予, 信用卡, no, cloth, online, 2, 2, 1, 2, 2, 1, huawei, 联想, 普通品牌, N5lOfTP4xvr@qq.com
Female, township, 2, 3528, 5045, 无, 节呗, no, funny, online, 2, 4, 2, 3, 2, 2, oppo, 苹果, 普通品牌, B1nrE@sina.com
Male, city, 1, 2097, 3925, 信贷产品, 信用卡, yes, dict, online, 2, 3, 2, 2, 2, 1, xiaomi, 戴尔, 普通品牌, ucN2Wii@sina.com
